CellType,Symbol,AffymetrixID,UGCluster,EntrezGene ,Name
Neutrophils,KIAA0329,204307_at,Hs.195667,9895,KIAA0329
Neutrophils,LILRB2,210146_x_at,Hs.655652,10288,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 2"
Neutrophils,MGAM,206522_at,Hs.122785,8972,maltase-glucoamylase (alpha-glucosidase)
Neutrophils,MME,203434_s_at,Hs.307734,4311,membrane metallo-endopeptidase
Neutrophils,MME,203435_s_at,Hs.307734,4311,membrane metallo-endopeptidase
Neutrophils,PDE4B,222326_at,Hs.198072,5142,"phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)"
Neutrophils,S100A12,205863_at,Hs.19413,6283,S100 calcium binding protein A12
Neutrophils,SIGLEC5,220000_at,Hs.310333,8778,sialic acid binding Ig-like lectin 5
Neutrophils,SLC22A4,205896_at,"Hs.310591, Hs.640104",6583,"solute carrier family 22 (organic cation transporter), member 4"
Neutrophils,SLC25A37,218136_s_at,"Hs.122514, Hs.59602",51312,"solute carrier family 25, member 37"
Neutrophils,TNFRSF10C,211163_s_at,Hs.655801,8794,"tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain"
Neutrophils,TNFRSF10C,206222_at,Hs.655801,8794,"tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain"
Neutrophils,VNN3,220528_at,Hs.183656,55350,vanin 3
NK CD56bright cells,MARCH6,215908_at,Hs.432862,10299,membrane-associated ring finger (C3HC4) 6
NK CD56bright cells,BG255923,215409_at,Hs.352614,254531,"1-acylglycerol-3-phosphate O-acyltransferase 7 (lysophosphatidic acid acyltransferase, eta)"
NK CD56bright cells,DUSP4,204014_at,Hs.417962,1846,dual specificity phosphatase 4
NK CD56bright cells,DUSP4,204015_s_at,Hs.417962,1846,dual specificity phosphatase 4
NK CD56bright cells,FOXJ1,205906_at,Hs.651204,2302,forkhead box J1
NK CD56bright cells,MADD,38398_at,Hs.82548,8567,MAP-kinase activating death domain
NK CD56bright cells,MPPED1,206436_at,Hs.592198,758,metallophosphoesterase domain containing 1
NK CD56bright cells,MUC3B,214676_x_at,Hs.489354,57876,"mucin 3B, cell surface associated"
NK CD56bright cells,NIBP,221672_s_at,Hs.654911,83696,NIK and IKK{beta} binding protein
NK CD56bright cells,PLA2G6,215938_s_at,Hs.170479,8398,"phospholipase A2, group VI (cytosolic, calcium-independent)"
NK CD56bright cells,PLA2G6,204691_x_at,Hs.170479,8398,"phospholipase A2, group VI (cytosolic, calcium-independent)"
NK CD56bright cells,PLA2G6,210647_x_at,Hs.170479,8398,"phospholipase A2, group VI (cytosolic, calcium-independent)"
NK CD56bright cells,RRAD,204803_s_at,Hs.1027,6236,Ras-related associated with diabetes
NK CD56bright cells,XCL1,206365_at,Hs.546295,6375,chemokine (C motif) ligand 1
NK CD56dim cells,EDG8,221417_x_at,Hs.501561,53637,"endothelial differentiation, sphingolipid G-protein-coupled receptor, 8"
NK CD56dim cells,FLJ20699,216434_at,Hs.435832,55020,hypothetical protein FLJ20699
NK CD56dim cells,GTF3C1,202320_at,Hs.371718,2975,"general transcription factor IIIC, polypeptide 1, alpha 220kDa"
NK CD56dim cells,GZMB,210164_at,Hs.1051,3002,"granzyme B (granzyme 2, cytotoxic T-lymphocyte-associated serine esterase 1)"
NK CD56dim cells,IL21R,221658_s_at,Hs.210546,50615,interleukin 21 receptor
NK CD56dim cells,KIR2DL3,208179_x_at,"Hs.654605, Hs.654608",3804,"killer cell immunoglobulin-like receptor, two domains, long cytoplasmic tail, 3"
NK CD56dim cells,KIR2DS1,216552_x_at,Hs.661101,3806,"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 1"
NK CD56dim cells,KIR2DS2,211532_x_at,"Hs.512572, Hs.654605",3807,"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2"
NK CD56dim cells,KIR2DS5,208203_x_at,Hs.659860,3810,"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 5"
NK CD56dim cells,KIR3DL1,211687_x_at,Hs.645228,3811,"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1"
NK CD56dim cells,KIR3DL2,207314_x_at,"Hs.645228, Hs.645532",3812,"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2"
NK CD56dim cells,KIR3DL2,216907_x_at,"Hs.645228, Hs.645532",3812,"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2"
NK CD56dim cells,KIR3DL2,211688_x_at,"Hs.645228, Hs.645532",3812,"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2"
NK CD56dim cells,KIR3DL2,207313_x_at,"Hs.645228, Hs.645532",3812,"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2"
NK CD56dim cells,KIR3DL3,216676_x_at,Hs.645224,115653,"killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 3"
NK CD56dim cells,KIR3DS1,211389_x_at,"Hs.659860, Hs.66110",3813,"killer cell immunoglobulin-like receptor, three domains, short cytoplasmic tail, 1"
NK CD56dim cells,SPON2,218638_s_at,Hs.302963,10417,"spondin 2, extracellular matrix protein"
NK CD56dim cells,TMEPAI,217875_s_at,Hs.517155,56937,"transmembrane, prostate androgen induced RNA"
NK cells,ADARB1,209979_at,Hs.474018,104,"adenosine deaminase, RNA-specific, B1 (RED1 homolog rat)"
NK cells,AF107846,217058_at,Hs.125898,2778,GNAS complex locus
NK cells,AL080130,212972_x_at,,323,
NK cells,ALDH1B1,209646_x_at,Hs.436219,219,"aldehyde dehydrogenase 1 family, member B1"
NK cells,ARL6IP2,217580_x_at,Hs.190440,64225,ADP-ribosylation factor-like 6 interacting protein 2
NK cells,BCL2,207004_at,Hs.150749,596,B-cell CLL/lymphoma 2
NK cells,CDC5L,209057_x_at,Hs.485471,988,CDC5 cell division cycle 5-like (S. pombe)
NK cells,FGF18,206986_at,Hs.87191,8817,fibroblast growth factor 18
NK cells,FUT5,211225_at,Hs.631843,2527,"fucosyltransferase 5 (alpha (1,3) fucosyltransferase)"
NK cells,FZR1,209415_at,Hs.413133,51343,fizzy/cell division cycle 20 related 1 (Drosophila)
NK cells,FZR1,211865_s_at,Hs.413133,51343,fizzy/cell division cycle 20 related 1 (Drosophila)
NK cells,GAGE2,207739_s_at,Hs.658117,2574,G antigen 2
NK cells,IGFBP5,203426_s_at,Hs.635441,3488,insulin-like growth factor binding protein 5
NK cells,LDB3,216888_at,Hs.657271,11155,LIM domain binding 3
NK cells,LOC643313,211050_x_at,Hs.676949,643313,similar to hypothetical protein LOC284701
NK cells,LOC730096,215182_x_at,Hs.572908,730096,hypothetical protein LOC730096
NK cells,MAPRE3,203842_s_at,Hs.515860,22924,"microtubule-associated protein, RP/EB family, member 3"
NK cells,MCM3AP,215582_x_at,Hs.389037,8888,minichromosome maintenance complex component 3 associated protein
NK cells,MRC2,209280_at,Hs.7835,9902,"mannose receptor, C type 2"
NK cells,NCR1,217095_x_at,Hs.97084,9437,natural cytotoxicity triggering receptor 1
NK cells,NCR1,217088_s_at,Hs.97084,9437,natural cytotoxicity triggering receptor 1
NK cells,NCR1,207860_at,Hs.97084,9437,natural cytotoxicity triggering receptor 1
NK cells,NM_014114,220691_at,Hs.654698,259230,sphingomyelin synthase 1
NK cells,NM_014274,206827_s_at,"Hs.302740, Hs.638966",55503,"transient receptor potential cation channel, subfamily V, member 6"
NK cells,NM_017616,221068_at,Hs.284208,25959,ankyrin repeat domain 25
NK cells,PDLIM4,214174_s_at,Hs.424312,8572,PDZ and LIM domain 4
NK cells,PRX,220024_s_at,Hs.205457,57716,periaxin
NK cells,PSMD4,210459_at,Hs.505059,5710,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 4"
NK cells,RP5-886K2.1,208014_x_at,,27308,neuronal thread protein AD7c-NTP
NK cells,SLC30A5,220181_x_at,Hs.631975,64924,"solute carrier family 30 (zinc transporter), member 5"
NK cells,SMEK1,215607_x_at,Hs.533887,55671,"SMEK homolog 1, suppressor of mek1 (Dictyostelium)"
NK cells,SPN,216981_x_at,Hs.632188,6693,"sialophorin (leukosialin, CD43)"
NK cells,SPN,206057_x_at,Hs.632188,6693,"sialophorin (leukosialin, CD43)"
NK cells,TBXA2R,207555_s_at,Hs.442530,6915,thromboxane A2 receptor
NK cells,TCTN2,206438_x_at,Hs.167165,79867,tectonic family member 2
NK cells,TINAGL1,219058_x_at,Hs.199368,64129,tubulointerstitial nephritis antigen-like 1
NK cells,XCL1,206366_x_at,Hs.546295,6375,chemokine (C motif) ligand 1
NK cells,XCL2,214567_s_at,Hs.458346,6846,chemokine (C motif) ligand 2
NK cells,ZNF205,206416_at,Hs.592088,7755,zinc finger protein 205
NK cells,ZNF528,215019_x_at,Hs.662043,84436,zinc finger protein 528
NK cells,ZNF747,206180_x_at,Hs.592032,65988,zinc finger protein 747
Normal mucosa,ACTG2,202274_at,Hs.516105,72,"actin, gamma 2, smooth muscle, enteric"
Normal mucosa,ADH1B,209612_s_at,Hs.4,125,"alcohol dehydrogenase IB (class I), beta polypeptide"
Normal mucosa,AGR2,209173_at,Hs.530009,10551,anterior gradient homolog 2 (Xenopus laevis)
Normal mucosa,C1R,212067_s_at,Hs.524224,715,"complement component 1, r subcomponent"
Normal mucosa,CALD1,201616_s_at,Hs.490203,800,caldesmon 1
Normal mucosa,CALD1,212077_at,Hs.490203,800,caldesmon 1
Normal mucosa,CAV1,212097_at,Hs.74034,857,"caveolin 1, caveolae protein, 22kDa"
Normal mucosa,CDH17,209847_at,Hs.591853,1015,"cadherin 17, LI cadherin (liver-intestine)"
Normal mucosa,CEACAM5,201884_at,Hs.466814,1048,carcinoembryonic antigen-related cell adhesion molecule 5
Normal mucosa,COL3A1,215076_s_at,"Hs.443625, Hs.693798",1281,"collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)"
Normal mucosa,COL3A1,201852_x_at,"Hs.443625, Hs.693798",1281,"collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)"
Normal mucosa,COL3A1,211161_s_at,"Hs.443625, Hs.693798",1281,"collagen, type III, alpha 1 (Ehlers-Danlos syndrome type IV, autosomal dominant)"
Normal mucosa,CRIM1,202551_s_at,Hs.332847,51232,cysteine rich transmembrane BMP regulator 1 (chordin-like)
Normal mucosa,DCN,201893_x_at,Hs.694789,1634,decorin
Normal mucosa,DCN,211896_s_at,Hs.694789,1634,decorin
Normal mucosa,FBLN1,202994_s_at,Hs.24601,2192,fibulin 1
Normal mucosa,FXYD3,202489_s_at,Hs.301350,5349,FXYD domain containing ion transport regulator 3
Normal mucosa,GNA11,564_at,"Hs.278432, Hs.65478",2767,"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)"
Normal mucosa,GNA11,213944_x_at,"Hs.278432, Hs.65478",2767,"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)"
Normal mucosa,GNG12,212294_at,Hs.431101,55970,"guanine nucleotide binding protein (G protein), gamma 12"
Normal mucosa,HEPH,203903_s_at,Hs.31720,9843,hephaestin
Normal mucosa,IGFBP5,211959_at,Hs.635441,3488,insulin-like growth factor binding protein 5
Normal mucosa,IGFBP7,201162_at,"Hs.479808, Hs.652108",3490,insulin-like growth factor binding protein 7
Normal mucosa,KRT20,213953_at,Hs.84905,54474,keratin 20
Normal mucosa,LAMA4,202202_s_at,Hs.654572,3910,"laminin, alpha 4"
Normal mucosa,LGALS4,204272_at,Hs.5302,3960,"lectin, galactoside-binding, soluble, 4 (galectin 4)"
Normal mucosa,MGP,202291_s_at,Hs.365706,4256,matrix Gla protein
Normal mucosa,MYH11,201497_x_at,Hs.460109,4629,"myosin, heavy chain 11, smooth muscle"
Normal mucosa,MYH11,207961_x_at,Hs.460109,4629,"myosin, heavy chain 11, smooth muscle"
Normal mucosa,MYLK,202555_s_at,Hs.556600,4638,"myosin, light chain kinase"
Normal mucosa,NFIB,209289_at,Hs.370359,4781,nuclear factor I/B
Normal mucosa,PPAP2B,212226_s_at,"Hs.405156, Hs.63879",8613,phosphatidic acid phosphatase type 2B
Normal mucosa,PPAP2B,209355_s_at,"Hs.405156, Hs.63879",8613,phosphatidic acid phosphatase type 2B
Normal mucosa,RGS5,209071_s_at,Hs.24950,8490,regulator of G-protein signaling 5
Normal mucosa,SPARCL1,200795_at,Hs.62886,8404,"SPARC-like 1 (mast9, hevin)"
Normal mucosa,TAGLN,205547_s_at,Hs.632099,6876,transgelin
Normal mucosa,TPM1,210987_x_at,Hs.133892,7168,tropomyosin 1 (alpha)
Normal mucosa,TPM1,206116_s_at,Hs.133892,7168,tropomyosin 1 (alpha)
Normal mucosa,TSPAN8,203824_at,Hs.170563,7103,tetraspanin 8
Normal mucosa,WASL,205809_s_at,Hs.143728,8976,Wiskott-Aldrich syndrome-like
pDC,IL3RA,206148_at,Hs.632790,3563,"interleukin 3 receptor, alpha (low affinity)"
SW480 cancer cells,ASPSCR1,218908_at,Hs.298351,79058,"alveolar soft part sarcoma chromosome region, candidate 1"
SW480 cancer cells,BAMBI,203304_at,Hs.533336,25805,BMP and activin membrane-bound inhibitor homolog (Xenopus laevis)
SW480 cancer cells,BMP4,211518_s_at,Hs.68879,652,bone morphogenetic protein 4
SW480 cancer cells,BMP7,209591_s_at,Hs.473163,655,bone morphogenetic protein 7 (osteogenic protein 1)
SW480 cancer cells,CCND1,208711_s_at,Hs.523852,595,cyclin D1
SW480 cancer cells,DEFA5,207529_at,Hs.655233,1670,"defensin, alpha 5, Paneth cell-specific"
SW480 cancer cells,DHRS2,214079_at,Hs.272499,10202,dehydrogenase/reductase (SDR family) member 2
SW480 cancer cells,EEF1A2,204540_at,Hs.433839,1917,eukaryotic translation elongation factor 1 alpha 2
SW480 cancer cells,F12,205774_at,Hs.1321,2161,coagulation factor XII (Hageman factor)
SW480 cancer cells,FGF3,214571_at,Hs.37092,2248,fibroblast growth factor 3 (murine mammary tumor virus integration site (v-int-2) oncogene homolog)
SW480 cancer cells,FKBP4,200894_s_at,Hs.524183,2288,"FK506 binding protein 4, 59kDa"
SW480 cancer cells,HOXA9,214651_s_at,Hs.659350,3205,homeobox A9
SW480 cancer cells,IGF2,202409_at,"Hs.272259, Hs.52341",3481,insulin-like growth factor 2 (somatomedin A)
SW480 cancer cells,INHBB,205258_at,Hs.1735,3625,"inhibin, beta B"
SW480 cancer cells,ITGB4,204989_s_at,Hs.632226,3691,"integrin, beta 4"
SW480 cancer cells,JAG2,209784_s_at,Hs.433445,3714,jagged 2
SW480 cancer cells,JAG2,32137_at,Hs.433445,3714,jagged 2
SW480 cancer cells,KLK6,204733_at,Hs.79361,5653,kallikrein-related peptidase 6
SW480 cancer cells,KRT13,207935_s_at,Hs.654550,3860,keratin 13
SW480 cancer cells,KRT5,201820_at,"Hs.433845, Hs.66106",3852,"keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)"
SW480 cancer cells,LOC89944,213713_s_at,Hs.436178,89944,hypothetical protein BC008326
SW480 cancer cells,LRFN4,219491_at,"Hs.209979, Hs.684523",78999,leucine rich repeat and fibronectin type III domain containing 4
SW480 cancer cells,MFAP2,203417_at,Hs.389137,4237,microfibrillar-associated protein 2
SW480 cancer cells,NM_024609,218678_at,Hs.527971,10763,nestin
SW480 cancer cells,NTSR1,207360_s_at,Hs.590869,4923,neurotensin receptor 1 (high affinity)
SW480 cancer cells,PCTK1,207239_s_at,Hs.496068,5127,PCTAIRE protein kinase 1
SW480 cancer cells,RBP1,203423_at,Hs.529571,5947,"retinol binding protein 1, cellular"
SW480 cancer cells,RHOD,209885_at,Hs.15114,29984,"ras homolog gene family, member D"
SW480 cancer cells,RPP25,219143_s_at,Hs.8562,54913,ribonuclease P/MRP 25kDa subunit
SW480 cancer cells,S100A2,204268_at,Hs.516484,6273,S100 calcium binding protein A2
SW480 cancer cells,S100A3,206027_at,Hs.557609,6274,S100 calcium binding protein A3
SW480 cancer cells,SLC1A5,208916_at,Hs.631582,6510,"solute carrier family 1 (neutral amino acid transporter), member 5"
SW480 cancer cells,SLC27A5,219733_s_at,Hs.292177,10998,"solute carrier family 27 (fatty acid transporter), member 5"
SW480 cancer cells,SLC6A8,210854_x_at,Hs.540696,6535,"solute carrier family 6 (neurotransmitter transporter, creatine), member 8"
SW480 cancer cells,SLC6A8,213843_x_at,Hs.540696,6535,"solute carrier family 6 (neurotransmitter transporter, creatine), member 8"
SW480 cancer cells,STRA6,221701_s_at,Hs.24553,64220,stimulated by retinoic acid gene 6 homolog (mouse)
SW480 cancer cells,TEAD4,41037_at,Hs.94865,7004,TEA domain family member 4
SW480 cancer cells,TRIM29,202504_at,Hs.504115,23650,tripartite motif-containing 29
SW480 cancer cells,VSNL1,203797_at,Hs.444212,7447,visinin-like 1
SW480 cancer cells,VSNL1,203798_s_at,Hs.444212,7447,visinin-like 1
T cells,BCL11B,219528_s_at,Hs.510396,64919,B-cell CLL/lymphoma 11B (zinc finger protein)
T cells,CD2,205831_at,Hs.523500,914,CD2 molecule
T cells,CD28,206545_at,Hs.591629,940,CD28 molecule
T cells,CD3D,213539_at,Hs.504048,915,"CD3d molecule, delta (CD3-TCR complex)"
T cells,CD3E,205456_at,Hs.3003,916,"CD3e molecule, epsilon (CD3-TCR complex)"
T cells,CD3G,206804_at,Hs.2259,917,"CD3g molecule, gamma (CD3-TCR complex)"
T cells,CD6,213958_at,Hs.643167,923,CD6 molecule
T cells,CD96,206761_at,Hs.142023,10225,CD96 molecule
T cells,GIMAP5,218805_at,Hs.647079,55340,"GTPase, IMAP family member 5"
T cells,ITM2A,202747_s_at,Hs.17109,9452,integral membrane protein 2A
T cells,LCK,204891_s_at,Hs.470627,3932,lymphocyte-specific protein tyrosine kinase
T cells,LCK,204890_s_at,Hs.470627,3932,lymphocyte-specific protein tyrosine kinase
T cells,NCALD,211685_s_at,"Hs.492427, Hs.680132",83988,neurocalcin delta
T cells,PRKCQ,210038_at,Hs.498570,5588,"protein kinase C, theta"
T cells,PRKCQ,210039_s_at,Hs.498570,5588,"protein kinase C, theta"
T cells,SH2D1A,210116_at,Hs.349094,4068,"SH2 domain protein 1A, Duncan's disease (lymphoproliferative syndrome)"
T cells,SKAP1,205790_at,Hs.316931,8631,src kinase associated phosphoprotein 1
T cells,TRA@,209670_at,Hs.74647,28755,T cell receptor alpha constant
T cells,TRA@,209671_x_at,Hs.74647,6955,T cell receptor alpha locus
T cells,TRA@,213830_at,Hs.74647,6955,T cell receptor alpha locus
T cells,TRA@,216191_s_at,Hs.74647,6955,T cell receptor alpha locus
T cells,TRAT1,217147_s_at,Hs.138701,50852,T cell receptor associated transmembrane adaptor 1
T cells,TRBC1,213193_x_at,Hs.654496,28639,T cell receptor beta constant 1
T cells,TRBC1,210915_x_at,Hs.654496,28639,T cell receptor beta constant 1
T helper cells,ANP32B,201306_s_at,Hs.494604,10541,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B"
T helper cells,ASF1A,203428_s_at,Hs.292316,25842,ASF1 anti-silencing function 1 homolog A (S. cerevisiae)
T helper cells,ATF2,205446_s_at,Hs.694722,1386,activating transcription factor 2
T helper cells,BATF,205965_at,Hs.509964,10538,"basic leucine zipper transcription factor, ATF-like"
T helper cells,C13orf34,219544_at,Hs.653132,79866,chromosome 13 open reading frame 34
T helper cells,CD28,211856_x_at,Hs.591629,940,CD28 molecule
T helper cells,DDX50,221699_s_at,Hs.522984,79009,DEAD (Asp-Glu-Ala-Asp) box polypeptide 50
T helper cells,FAM111A,218248_at,Hs.150651,63901,"family with sequence similarity 111, member A"
T helper cells,FRYL,212546_s_at,"Hs.631525, Hs.64632",285527,FRY-like
T helper cells,FUSIP1,213594_x_at,"Hs.3530, Hs.652334",10772,FUS interacting protein (serine/arginine-rich) 1
T helper cells,GOLGA8A,208798_x_at,Hs.182982,23015,"golgi autoantigen, golgin subfamily a, 8A"
T helper cells,ICOS,210439_at,Hs.56247,29851,inducible T-cell co-stimulator
T helper cells,ITM2A,202746_at,Hs.17109,9452,integral membrane protein 2A
T helper cells,LRBA,214109_at,Hs.480938,987,"LPS-responsive vesicle trafficking, beach and anchor containing"
T helper cells,NAP1L4,201414_s_at,Hs.501684,4676,nucleosome assembly protein 1-like 4
T helper cells,NUP107,218768_at,Hs.524574,57122,nucleoporin 107kDa
T helper cells,PHF10,219126_at,Hs.435933,55274,PHD finger protein 10
T helper cells,PPP2R5C,213305_s_at,Hs.368264,5527,"protein phosphatase 2, regulatory subunit B', gamma isoform"
T helper cells,RPA1,201528_at,"Hs.461925, Hs.595562",6117,"replication protein A1, 70kDa"
T helper cells,SEC24C,202361_at,Hs.654429,9632,"SEC24 related gene family, member C (S. cerevisiae)"
T helper cells,SLC25A12,203340_s_at,Hs.470608,8604,"solute carrier family 25 (mitochondrial carrier, Aralar), member 12"
T helper cells,TRA@,215524_x_at,"Hs.74647, Hs.499145",10730,YME1-like 1 (S. cerevisiae)
T helper cells,TRA@,217412_at,,6955,
T helper cells,UBE2L3,200683_s_at,"Hs.108104, Hs.693707",7332,ubiquitin-conjugating enzyme E2L 3
Tcm,AQP3,203747_at,Hs.234642,360,aquaporin 3 (Gill blood group)
Tcm,ATF7IP,216197_at,Hs.591151,55729,activating transcription factor 7 interacting protein
Tcm,ATM,208442_s_at,Hs.367437,472,ataxia telangiectasia mutated
Tcm,ATM,210858_x_at,Hs.367437,472,ataxia telangiectasia mutated
Tcm,CASP8,207686_s_at,Hs.655983,841,"caspase 8, apoptosis-related cysteine peptidase"
Tcm,CDC14A,210441_at,Hs.127411,8556,CDC14 cell division cycle 14 homolog A (S. cerevisiae)
Tcm,CEP68,207971_s_at,Hs.693614,23177,centrosomal protein 68kDa
Tcm,CG030,215105_at,Hs.658751,116828,hypothetical gene CG030
Tcm,CLUAP1,204576_s_at,Hs.155995,23059,clusterin associated protein 1
Tcm,CREBZF,213584_s_at,"Hs.535319, Hs.657011",58487,CREB/ATF bZIP transcription factor
Tcm,CYLD,214272_at,Hs.578973,1540,cylindromatosis (turban tumor syndrome)
Tcm,CYorf15B,214131_at,Hs.592254,84663,chromosome Y open reading frame 15B
Tcm,DOCK9,215041_s_at,Hs.654825,23348,dedicator of cytokinesis 9
Tcm,FOXP1,215221_at,Hs.431498,27086,forkhead box P1
Tcm,FYB,205285_s_at,Hs.370503,2533,FYN binding protein (FYB-120/130)
Tcm,HNRPH1,213472_at,Hs.604001,3187,heterogeneous nuclear ribonucleoprotein H1 (H)
Tcm,INPP4B,215864_at,Hs.658245,8821,"inositol polyphosphate-4-phosphatase, type II, 105kDa"
Tcm,KLF12,206965_at,"Hs.373857, Hs.592500",11278,Kruppel-like factor 12
Tcm,LOC202134,215133_s_at,"Hs.646912, Hs.655683",202134,hypothetical protein LOC202134
Tcm,MAP3K1,214786_at,Hs.657756,4214,mitogen-activated protein kinase kinase kinase 1
Tcm,MLL,216624_s_at,"Hs.258855, Hs.664477",4297,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila)"
Tcm,NEFL,221805_at,Hs.521461,4747,"neurofilament, light polypeptide 68kDa"
Tcm,NFATC3,210556_at,Hs.632209,4775,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3"
Tcm,PCM1,209997_x_at,Hs.491148,5108,pericentriolar material 1
Tcm,PCNX,215175_at,Hs.446559,22990,pecanex homolog (Drosophila)
Tcm,PDXDC2,215920_s_at,Hs.513695,283970,pyridoxal-dependent decarboxylase domain containing 2
Tcm,PHC3,215521_at,"Hs.529592, Hs.694467",80012,polyhomeotic homolog 3 (Drosophila)
Tcm,POLR2J2,217610_at,"Hs.654726, Hs.693633",246721,DNA directed RNA polymerase II polypeptide J-related
Tcm,PSPC1,215083_at,Hs.213198,55269,paraspeckle component 1
Tcm,REPS1,215201_at,Hs.334603,85021,RALBP1 associated Eps domain containing 1
Tcm,RP11-74E24.2,205787_x_at,Hs.546686,441155,zinc finger CCCH-type domain-containing pseudogene
Tcm,RPP38,215743_at,Hs.60339,9397,N-myristoyltransferase 2
Tcm,SLC7A6,203578_s_at,Hs.653193,9057,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 6"
Tcm,SNRPN,216850_at,"Hs.564847, Hs.632166",6638,small nuclear ribonucleoprotein polypeptide N
Tcm,ST3GAL1,215874_at,Hs.584803,6482,"ST3 beta-galactoside alpha-2,3-sialyltransferase 1"
Tcm,STX16,221638_s_at,Hs.307913,8675,syntaxin 16
Tcm,TIMM8A,210800_at,Hs.447877,1678,translocase of inner mitochondrial membrane 8 homolog A (yeast)
Tcm,TRAF3IP3,215275_at,Hs.147434,80342,TRAF3 interacting protein 3
Tcm,TXK,206828_at,Hs.479669,7294,TXK tyrosine kinase
Tcm,USP9Y,206624_at,Hs.655309,8287,"ubiquitin specific peptidase 9, Y-linked (fat facets-like, Drosophila)"
Tem,AKT3,212609_s_at,Hs.498292,10000,"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)"
Tem,C7orf54,210109_at,Hs.657377,27099,chromosome 7 open reading frame 54
Tem,CCR2,206978_at,Hs.644637,1231,chemokine (C-C motif) receptor 2
Tem,CCR2,207794_at,Hs.644637,1231,chemokine (C-C motif) receptor 2
Tem,DDX17,208719_s_at,"Hs.528305, Hs.66542",10521,DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
Tem,EWSR1,211825_s_at,Hs.374477,2130,Ewing sarcoma breakpoint region 1
Tem,FLI1,210786_s_at,Hs.504281,2313,Friend leukemia virus integration 1
Tem,GDPD5,32502_at,"Hs.503297, Hs.671860",81544,glycerophosphodiester phosphodiesterase domain containing 5
Tem,LTK,207106_s_at,Hs.434481,4058,leukocyte tyrosine kinase
Tem,MEFV,208262_x_at,Hs.632221,4210,Mediterranean fever
Tem,NFATC4,205897_at,Hs.77810,4776,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 4"
Tem,PRKY,206279_at,Hs.632287,5616,"protein kinase, Y-linked"
Tem,TBC1D5,201815_s_at,Hs.475629,9779,"TBC1 domain family, member 5"
Tem,TBCD,201759_at,Hs.464391,6904,tubulin folding cofactor D
Tem,TRA@,217397_at,Hs.74647,6955,T cell receptor alpha locus
Tem,VIL2,217230_at,Hs.693594,7430,villin 2 (ezrin)
TFH,B3GAT1,219521_at,Hs.381050,27087,"beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)"
TFH,BLR1,216734_s_at,Hs.113916,643,"Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5)"
TFH,BLR1,206126_at,Hs.113916,643,"Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5)"
TFH,C18orf1,209574_s_at,Hs.149363,753,chromosome 18 open reading frame 1
TFH,C18orf1,207996_s_at,Hs.149363,753,chromosome 18 open reading frame 1
TFH,CDK5R1,204995_at,Hs.500015,8851,"cyclin-dependent kinase 5, regulatory subunit 1 (p35)"
TFH,CHGB,204260_at,Hs.516874,1114,chromogranin B (secretogranin 1)
TFH,CHI3L2,213060_s_at,Hs.514840,1117,chitinase 3-like 2
TFH,CXCL13,205242_at,Hs.100431,10563,chemokine (C-X-C motif) ligand 13 (B-cell chemoattractant)
TFH,HEY1,218839_at,Hs.234434,23462,hairy/enhancer-of-split related with YRPW motif 1
TFH,HEY1,44783_s_at,Hs.234434,23462,hairy/enhancer-of-split related with YRPW motif 1
TFH,HIST1H4K,214463_x_at,Hs.528055,8362,"histone cluster 1, H4k"
TFH,ICA1,210547_x_at,Hs.487561,3382,"islet cell autoantigen 1, 69kDa"
TFH,ICA1,207949_s_at,Hs.487561,3382,"islet cell autoantigen 1, 69kDa"
