"ACCNUM"	"SYMBOL"	"DESC"
"206526_at"	"NM_015653"	"RIBC2"	"RIB43A domain with coiled-coils 2"
"206527_at"	"NM_000663"	"ABAT"	"4-aminobutyrate aminotransferase"
"206528_at"	"NM_004621"	"TRPC6"	"transient receptor potential cation channel, subfamily C, member 6"
"206529_x_at"	"NM_000441"	"SLC26A4"	"solute carrier family 26 (anion exchanger), member 4"
"206530_at"	"NM_014488"	"RAB30"	"RAB30, member RAS oncogene family"
"206531_at"	"NM_004647"	"DPF1"	"D4, zinc and double PHD fingers family 1"
"206532_at"	"NM_003073"	"SMARCB1"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
"206533_at"	"NM_000745"	"CHRNA5"	"cholinergic receptor, nicotinic, alpha 5 (neuronal)"
"206534_at"	"NM_000833"	"GRIN2A"	"glutamate receptor, ionotropic, N-methyl D-aspartate 2A"
"206535_at"	"NM_000340"	"SLC2A2"	"solute carrier family 2 (facilitated glucose transporter), member 2"
"206536_s_at"	"U32974"	"XIAP"	"X-linked inhibitor of apoptosis, E3 ubiquitin protein ligase"
"206537_at"	"NM_001167"	"XIAP"	"X-linked inhibitor of apoptosis, E3 ubiquitin protein ligase"
"206538_at"	"NM_012219"	"MRAS"	"muscle RAS oncogene homolog"
"206539_s_at"	"NM_023944"	"CYP4F12"	"cytochrome P450, family 4, subfamily F, polypeptide 12"
"206540_at"	"NM_024506"	"GLB1L"	"galactosidase, beta 1-like"
"206541_at"	"NM_000892"	"KLKB1"	"kallikrein B, plasma (Fletcher factor) 1"
"206542_s_at"	"AV725365"	"SMARCA2"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
"206543_at"	"NM_003070"	"SMARCA2"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
"206544_x_at"	"NM_003070"	"SMARCA2"	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
"206545_at"	"NM_006139"	"CD28"	"CD28 molecule"
"206546_at"	"NM_014258"	"SYCP2"	"synaptonemal complex protein 2"
"206547_s_at"	"NM_006240"	"PPEF1"	"protein phosphatase, EF-hand calcium binding domain 1"
"206548_at"	"NM_024880"	"NA"	"NA"
"206549_at"	"NM_002195"	"INSL4"	"insulin-like 4 (placenta)"
"206550_s_at"	"NM_004298"	"NUP155"	"nucleoporin 155kDa"
"206551_x_at"	"NM_017644"	"KLHL24"	"kelch-like family member 24"
"206552_s_at"	"NM_003182"	"TAC1"	"tachykinin, precursor 1"
"206553_at"	"NM_002535"	"OAS2"	"2'-5'-oligoadenylate synthetase 2, 69/71kDa"
"206554_x_at"	"NM_006515"	"SETMAR"	"SET domain and mariner transposase fusion gene"
"206555_s_at"	"NM_017736"	"THUMPD1"	"THUMP domain containing 1"
"206556_at"	"NM_014410"	"CLUL1"	"clusterin-like 1 (retinal)"
"206557_at"	"NM_024924"	"ZNF702P"	"zinc finger protein 702, pseudogene"
"206558_at"	"NM_005069"	"SIM2"	"single-minded family bHLH transcription factor 2"
"206559_x_at"	"NM_001403"	"EEF1A1"	"eukaryotic translation elongation factor 1 alpha 1"
"206560_s_at"	"NM_006533"	"MIA"	"melanoma inhibitory activity"
"206561_s_at"	"NM_020299"	"AKR1B10"	"aldo-keto reductase family 1, member B10 (aldose reductase)"
"206562_s_at"	"NM_001892"	"CSNK1A1"	"casein kinase 1, alpha 1"
"206563_s_at"	"AF348323"	"OPRL1"	"opiate receptor-like 1"
"206564_at"	"NM_000913"	"OPRL1"	"opiate receptor-like 1"
"206565_x_at"	"NM_006780"	"SMA4"	"glucuronidase, beta pseudogene"
"206566_at"	"NM_003045"	"SLC7A1"	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1"
"206567_s_at"	"NM_016436"	"PHF20"	"PHD finger protein 20"
"206568_at"	"NM_003284"	"TNP1"	"transition protein 1 (during histone to protamine replacement)"
"206569_at"	"NM_006850"	"IL24"	"interleukin 24"
"206570_s_at"	"NM_002785"	"PSG11"	"pregnancy specific beta-1-glycoprotein 11"
"206571_s_at"	"NM_004834"	"MAP4K4"	"mitogen-activated protein kinase kinase kinase kinase 4"
"206572_x_at"	"NM_003429"	"ZNF85"	"zinc finger protein 85"
"206573_at"	"NM_004519"	"KCNQ3"	"potassium channel, voltage gated KQT-like subfamily Q, member 3"
"206574_s_at"	"NM_007079"	"PTP4A3"	"protein tyrosine phosphatase type IVA, member 3"
"206575_at"	"NM_003159"	"CDKL5"	"cyclin-dependent kinase-like 5"
"206576_s_at"	"NM_001712"	"CEACAM1"	"carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)"
"206577_at"	"NM_003381"	"VIP"	"vasoactive intestinal peptide"
"206578_at"	"NM_004387"	"NKX2-5"	"NK2 homeobox 5"
"206579_at"	"NM_006298"	"ZKSCAN8"	"zinc finger with KRAB and SCAN domains 8"
"206580_s_at"	"NM_016938"	"EFEMP2"	"EGF containing fibulin-like extracellular matrix protein 2"
"206581_at"	"NM_001717"	"BNC1"	"basonuclin 1"
"206582_s_at"	"NM_005682"	"ADGRG1"	"adhesion G protein-coupled receptor G1"
"206583_at"	"NM_017776"	"KRBOX4"	"KRAB box domain containing 4"
"206584_at"	"NM_015364"	"LY96"	"lymphocyte antigen 96"
"206585_at"	"NM_005664"	"MKRN3"	"makorin ring finger protein 3"
"206586_at"	"NM_001841"	"CNR2"	"cannabinoid receptor 2 (macrophage)"
"206587_at"	"NM_006584"	"CCT6B"	"chaperonin containing TCP1, subunit 6B (zeta 2)"
"206588_at"	"NM_001351"	"DAZL"	"deleted in azoospermia-like"
"206589_at"	"NM_005263"	"GFI1"	"growth factor independent 1 transcription repressor"
"206590_x_at"	"NM_000795"	"DRD2"	"dopamine receptor D2"
"206591_at"	"NM_000448"	"RAG1"	"recombination activating gene 1"
"206592_s_at"	"NM_003938"	"AP3D1"	"adaptor-related protein complex 3, delta 1 subunit"
"206593_s_at"	"NM_006752"	"MED22"	"mediator complex subunit 22"
"206594_at"	"NM_015148"	"PASK"	"PAS domain containing serine/threonine kinase"
"206595_at"	"NM_001323"	"CST6"	"cystatin E/M"
"206596_s_at"	"M81840"	"NRL"	"neural retina leucine zipper"
"206597_at"	"NM_006177"	"NRL"	"neural retina leucine zipper"
"206598_at"	"NM_000207"	"INS"	"insulin"
"206599_at"	"NM_004695"	"SLC16A5"	"solute carrier family 16 (monocarboxylate transporter), member 5"
"206600_s_at"	"NM_004695"	"SLC16A5"	"solute carrier family 16 (monocarboxylate transporter), member 5"
"206601_s_at"	"BC005124"	"NA"	"NA"
"206602_s_at"	"NM_006898"	"NA"	"NA"
"206603_at"	"NM_001042"	"SLC2A4"	"solute carrier family 2 (facilitated glucose transporter), member 4"
"206604_at"	"NM_004561"	"OVOL1"	"ovo-like zinc finger 1"
"206605_at"	"NM_006025"	"ENDOU"	"endonuclease, polyU-specific"
"206606_at"	"NM_000236"	"LIPC"	"lipase, hepatic"
"206607_at"	"NM_005188"	"CBL"	"Cbl proto-oncogene, E3 ubiquitin protein ligase"
"206608_s_at"	"NM_020366"	"RPGRIP1"	"retinitis pigmentosa GTPase regulator interacting protein 1"
"206609_at"	"NM_005462"	"MAGEC1"	"melanoma antigen family C1"
"206610_s_at"	"NM_000128"	"F11"	"coagulation factor XI"
"206611_at"	"NM_013310"	"C2orf27A"	"chromosome 2 open reading frame 27A"
"206612_at"	"NM_000727"	"CACNG1"	"calcium channel, voltage-dependent, gamma subunit 1"
"206613_s_at"	"NM_005681"	"TAF1A"	"TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa"
"206614_at"	"NM_000557"	"GDF5"	"growth differentiation factor 5"
"206615_s_at"	"NM_021723"	"ADAM22"	"ADAM metallopeptidase domain 22"
"206616_s_at"	"AF155382"	"ADAM22"	"ADAM metallopeptidase domain 22"
"206617_s_at"	"NM_002910"	"RENBP"	"renin binding protein"
"206618_at"	"NM_003855"	"IL18R1"	"interleukin 18 receptor 1"
"206619_at"	"NM_014420"	"DKK4"	"dickkopf WNT signaling pathway inhibitor 4"
"206620_at"	"NM_006613"	"GRAP"	"GRB2-related adaptor protein"
"206621_s_at"	"NM_022170"	"EIF4H"	"eukaryotic translation initiation factor 4H"
"206622_at"	"NM_007117"	"TRH"	"thyrotropin-releasing hormone"
"206623_at"	"NM_000440"	"PDE6A"	"phosphodiesterase 6A, cGMP-specific, rod, alpha"
"206624_at"	"NM_004654"	"USP9Y"	"ubiquitin specific peptidase 9, Y-linked"
"206625_at"	"NM_000322"	"PRPH2"	"peripherin 2 (retinal degeneration, slow)"
"206626_x_at"	"BC001003"	"SSX1"	"synovial sarcoma, X breakpoint 1"
"206627_s_at"	"NM_005635"	"SSX1"	"synovial sarcoma, X breakpoint 1"
"206628_at"	"NM_000343"	"SLC5A1"	"solute carrier family 5 (sodium/glucose cotransporter), member 1"
"206629_at"	"NM_014694"	"ADAMTSL2"	"ADAMTS-like 2"
"206630_at"	"NM_000372"	"TYR"	"tyrosinase"
"206631_at"	"NM_000956"	"PTGER2"	"prostaglandin E receptor 2 (subtype EP2), 53kDa"
"206632_s_at"	"NM_004900"	"APOBEC3B"	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B"
"206633_at"	"NM_000079"	"CHRNA1"	"cholinergic receptor, nicotinic, alpha 1 (muscle)"
"206634_at"	"NM_005413"	"SIX3"	"SIX homeobox 3"
"206635_at"	"NM_000748"	"CHRNB2"	"cholinergic receptor, nicotinic, beta 2 (neuronal)"
"206636_at"	"NM_006506"	"RASA2"	"RAS p21 protein activator 2"
"206637_at"	"NM_014879"	"P2RY14"	"purinergic receptor P2Y, G-protein coupled, 14"
"206638_at"	"NM_000867"	"HTR2B"	"5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled"
"206639_x_at"	"NM_002159"	"HTN1"	"histatin 1"
"206640_x_at"	"NM_001477"	"NA"	"NA"
"206641_at"	"NM_001192"	"TNFRSF17"	"tumor necrosis factor receptor superfamily, member 17"
"206642_at"	"NM_001942"	"DSG1"	"desmoglein 1"
"206643_at"	"NM_002108"	"HAL"	"histidine ammonia-lyase"
"206644_at"	"NM_000475"	"NR0B1"	"nuclear receptor subfamily 0, group B, member 1"
"206645_s_at"	"NM_000475"	"NR0B1"	"nuclear receptor subfamily 0, group B, member 1"
"206646_at"	"NM_005269"	"GLI1"	"GLI family zinc finger 1"
"206647_at"	"NM_005332"	"HBZ"	"hemoglobin, zeta"
"206648_at"	"NM_016536"	"ZNF571"	"zinc finger protein 571"
"206649_s_at"	"NM_006521"	"TFE3"	"transcription factor binding to IGHM enhancer 3"
"206650_at"	"NM_018134"	"IQCC"	"IQ motif containing C"
"206651_s_at"	"NM_016413"	"CPB2"	"carboxypeptidase B2 (plasma)"
"206652_at"	"NM_016384"	"ZMYM5"	"zinc finger, MYM-type 5"
"206653_at"	"BF062139"	"POLR3G"	"polymerase (RNA) III (DNA directed) polypeptide G (32kD)"
"206654_s_at"	"NM_006467"	"POLR3G"	"polymerase (RNA) III (DNA directed) polypeptide G (32kD)"
"206655_s_at"	"NM_000407"	"NA"	"NA"
"206656_s_at"	"BC000353"	"APMAP"	"adipocyte plasma membrane associated protein"
"206657_s_at"	"NM_002478"	"MYOD1"	"myogenic differentiation 1"
"206658_at"	"NM_030570"	"UPK3B"	"uroplakin 3B"
"206659_at"	"NM_025024"	"NA"	"NA"
"206660_at"	"NM_020070"	"IGLL1"	"immunoglobulin lambda-like polypeptide 1"
"206661_at"	"NM_025104"	"DBF4B"	"DBF4 zinc finger B"
"206662_at"	"NM_002064"	"GLRX"	"glutaredoxin (thioltransferase)"
"206663_at"	"NM_003112"	"SP4"	"Sp4 transcription factor"
"206664_at"	"NM_001041"	"SI"	"sucrase-isomaltase (alpha-glucosidase)"
"206665_s_at"	"NM_001191"	"BCL2L1"	"BCL2-like 1"
"206666_at"	"NM_002104"	"GZMK"	"granzyme K (granzyme 3; tryptase II)"
"206667_s_at"	"AF005037"	"SCAMP1"	"secretory carrier membrane protein 1"
"206668_s_at"	"NM_004866"	"SCAMP1"	"secretory carrier membrane protein 1"
"206669_at"	"NM_013445"	"GAD1"	"glutamate decarboxylase 1 (brain, 67kDa)"
"206670_s_at"	"NM_013445"	"GAD1"	"glutamate decarboxylase 1 (brain, 67kDa)"
"206671_at"	"NM_000541"	"SAG"	"S-antigen; retina and pineal gland (arrestin)"
"206672_at"	"NM_000486"	"AQP2"	"aquaporin 2 (collecting duct)"
"206673_at"	"NM_007223"	"GPR176"	"G protein-coupled receptor 176"
"206674_at"	"NM_004119"	"FLT3"	"fms-related tyrosine kinase 3"
"206675_s_at"	"NM_005414"	"SKIL"	"SKI-like proto-oncogene"
"206676_at"	"M33326"	"CEACAM8"	"carcinoembryonic antigen-related cell adhesion molecule 8"
"206677_at"	"NM_002277"	"KRT31"	"keratin 31, type I"
"206678_at"	"NM_000806"	"GABRA1"	"gamma-aminobutyric acid (GABA) A receptor, alpha 1"
"206679_at"	"NM_001163"	"APBA1"	"amyloid beta (A4) precursor protein-binding, family A, member 1"
"206680_at"	"NM_005894"	"CD5L"	"CD5 molecule-like"
"206681_x_at"	"NM_001502"	"GP2"	"glycoprotein 2 (zymogen granule membrane)"
"206682_at"	"NM_006344"	"CLEC10A"	"C-type lectin domain family 10, member A"
"206683_at"	"NM_003447"	"ZNF165"	"zinc finger protein 165"
"206684_s_at"	"NM_006856"	"ATF7"	"activating transcription factor 7"
"206685_at"	"NM_018985"	"HCG4"	"HLA complex group 4 (non-protein coding)"
"206686_at"	"NM_002610"	"PDK1"	"pyruvate dehydrogenase kinase, isozyme 1"
"206687_s_at"	"NM_002831"	"PTPN6"	"protein tyrosine phosphatase, non-receptor type 6"
"206688_s_at"	"NM_006693"	"CPSF4"	"cleavage and polyadenylation specific factor 4, 30kDa"
"206689_x_at"	"NM_006388"	"KAT5"	"K(lysine) acetyltransferase 5"
"206690_at"	"NM_001094"	"ASIC2"	"acid sensing (proton gated) ion channel 2"
"206691_s_at"	"NM_006849"	"PDIA2"	"protein disulfide isomerase family A, member 2"
"206692_at"	"NM_002241"	"KCNJ10"	"potassium channel, inwardly rectifying subfamily J, member 10"
"206693_at"	"NM_000880"	"IL7"	"interleukin 7"
"206694_at"	"NM_006229"	"PNLIPRP1"	"pancreatic lipase-related protein 1"
"206695_x_at"	"NM_003423"	"ZNF43"	"zinc finger protein 43"
"206696_at"	"NM_000273"	"GPR143"	"G protein-coupled receptor 143"
"206697_s_at"	"NM_005143"	"HP"	"haptoglobin"
"206698_at"	"NM_021083"	"XK"	"X-linked Kx blood group"
"206699_x_at"	"NM_002517"	"NPAS1"	"neuronal PAS domain protein 1"
"206700_s_at"	"NM_004653"	"KDM5D"	"lysine (K)-specific demethylase 5D"
"206701_x_at"	"NM_003991"	"EDNRB"	"endothelin receptor type B"
"206702_at"	"NM_000459"	"TEK"	"TEK tyrosine kinase, endothelial"
"206703_at"	"NM_000747"	"CHRNB1"	"cholinergic receptor, nicotinic, beta 1 (muscle)"
"206704_at"	"NM_000084"	"CLCN5"	"chloride channel, voltage-sensitive 5"
"206705_at"	"NM_003322"	"TULP1"	"tubby like protein 1"
"206706_at"	"NM_002527"	"NTF3"	"neurotrophin 3"
"206707_x_at"	"NM_015864"	"FAM65B"	"family with sequence similarity 65, member B"
"206708_at"	"NM_002158"	"FOXN2"	"forkhead box N2"
"206709_x_at"	"NM_005309"	"GPT"	"glutamic-pyruvate transaminase (alanine aminotransferase)"
"206710_s_at"	"NM_012307"	"EPB41L3"	"erythrocyte membrane protein band 4.1-like 3"
"206711_at"	"NM_004709"	"TMEM257"	"transmembrane protein 257"
"206712_at"	"NM_024719"	"GRTP1"	"growth hormone regulated TBC protein 1"
"206713_at"	"NM_014917"	"NTNG1"	"netrin G1"
"206714_at"	"NM_001141"	"ALOX15B"	"arachidonate 15-lipoxygenase, type B"
"206715_at"	"NM_012252"	"TFEC"	"transcription factor EC"
"206716_at"	"NM_003361"	"UMOD"	"uromodulin"
"206717_at"	"NM_002472"	"MYH8"	"myosin, heavy chain 8, skeletal muscle, perinatal"
"206718_at"	"NM_002315"	"LMO1"	"LIM domain only 1 (rhombotin 1)"
"206719_at"	"NM_012451"	"SYNGR4"	"synaptogyrin 4"
"206720_at"	"NM_002410"	"MGAT5"	"mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase"
"206721_at"	"NM_021179"	"CCDC181"	"coiled-coil domain containing 181"
"206722_s_at"	"NM_004720"	"LPAR2"	"lysophosphatidic acid receptor 2"
"206723_s_at"	"AF011466"	"LPAR2"	"lysophosphatidic acid receptor 2"
"206724_at"	"NM_003655"	"CBX4"	"chromobox homolog 4"
"206725_x_at"	"NM_006128"	"BMP1"	"bone morphogenetic protein 1"
"206726_at"	"NM_014485"	"HPGDS"	"hematopoietic prostaglandin D synthase"
"206727_at"	"K02766"	"C9"	"complement component 9"
"206728_at"	"NM_014693"	"ECE2"	"endothelin converting enzyme 2"
"206729_at"	"NM_001243"	"TNFRSF8"	"tumor necrosis factor receptor superfamily, member 8"
"206730_at"	"NM_007325"	"GRIA3"	"glutamate receptor, ionotropic, AMPA 3"
"206731_at"	"NM_014927"	"CNKSR2"	"connector enhancer of kinase suppressor of Ras 2"
"206732_at"	"NM_014926"	"SLITRK3"	"SLIT and NTRK-like family, member 3"
"206733_at"	"NM_003323"	"TULP2"	"tubby like protein 2"
"206734_at"	"NM_003772"	"JRKL"	"JRK-like"
"206735_at"	"NM_000744"	"CHRNA4"	"cholinergic receptor, nicotinic, alpha 4 (neuronal)"
"206736_x_at"	"L35901"	"CHRNA4"	"cholinergic receptor, nicotinic, alpha 4 (neuronal)"
"206737_at"	"NM_004626"	"WNT11"	"wingless-type MMTV integration site family, member 11"
"206738_at"	"NM_001646"	"NA"	"NA"
"206739_at"	"NM_018953"	"HOXC5"	"homeobox C5"
"206740_x_at"	"NM_003176"	"SYCP1"	"synaptonemal complex protein 1"
"206741_at"	"NM_015931"	"SSUH2"	"ssu-2 homolog (C. elegans)"
"206742_at"	"NM_004469"	"NA"	"NA"
"206743_s_at"	"NM_001671"	"ASGR1"	"asialoglycoprotein receptor 1"
"206744_s_at"	"NM_014242"	"ZMYM5"	"zinc finger, MYM-type 5"
"206745_at"	"NM_014212"	"HOXC11"	"homeobox C11"
"206746_at"	"NM_001195"	"BFSP1"	"beaded filament structural protein 1, filensin"
"206747_at"	"NM_014696"	"GPRIN2"	"G protein regulated inducer of neurite outgrowth 2"
"206748_s_at"	"NM_003971"	"SPAG9"	"sperm associated antigen 9"
"206749_at"	"NM_001764"	"CD1B"	"CD1b molecule"
"206750_at"	"NM_002360"	"MAFK"	"v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog K"
"206751_s_at"	"NM_004845"	"PCYT1B"	"phosphate cytidylyltransferase 1, choline, beta"
"206752_s_at"	"NM_004402"	"DFFB"	"DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase)"
"206753_at"	"AF086735"	"RDH16"	"retinol dehydrogenase 16 (all-trans)"
"206754_s_at"	"NM_000767"	"NA"	"NA"
"206755_at"	"NM_000767"	"CYP2B6"	"cytochrome P450, family 2, subfamily B, polypeptide 6"
"206756_at"	"NM_019886"	"CHST7"	"carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 7"
"206757_at"	"NM_001083"	"PDE5A"	"phosphodiesterase 5A, cGMP-specific"
"206758_at"	"NM_001956"	"EDN2"	"endothelin 2"
"206759_at"	"NM_002002"	"FCER2"	"Fc fragment of IgE, low affinity II, receptor for (CD23)"
"206760_s_at"	"NM_002002"	"FCER2"	"Fc fragment of IgE, low affinity II, receptor for (CD23)"
"206761_at"	"NM_005816"	"CD96"	"CD96 molecule"
"206762_at"	"NM_002234"	"KCNA5"	"potassium channel, voltage gated shaker related subfamily A, member 5"
"206763_at"	"NM_003602"	"FKBP6"	"FK506 binding protein 6, 36kDa"
"206764_x_at"	"NM_023075"	"MPPE1"	"metallophosphoesterase 1"
"206765_at"	"AF153820"	"KCNJ2"	"potassium channel, inwardly rectifying subfamily J, member 2"
"206766_at"	"AF112345"	"ITGA10"	"integrin, alpha 10"
"206767_at"	"NM_014483"	"RBMS3"	"RNA binding motif, single stranded interacting protein 3"
"206768_at"	"NM_005061"	"RPL3L"	"ribosomal protein L3-like"
"206769_at"	"NM_004202"	"TMSB4Y"	"thymosin beta 4, Y-linked"
"206770_s_at"	"NM_012243"	"SLC35A3"	"solute carrier family 35 (UDP-N-acetylglucosamine (UDP-GlcNAc) transporter), member A3"
"206771_at"	"NM_006953"	"UPK3A"	"uroplakin 3A"
"206772_at"	"NM_005048"	"PTH2R"	"parathyroid hormone 2 receptor"
"206773_at"	"NM_002347"	"LY6H"	"lymphocyte antigen 6 complex, locus H"
"206774_at"	"NM_014907"	"FRMPD1"	"FERM and PDZ domain containing 1"
"206775_at"	"NM_001081"	"CUBN"	"cubilin (intrinsic factor-cobalamin receptor)"
"206776_x_at"	"NM_001612"	"ACRV1"	"acrosomal vesicle protein 1"
"206777_s_at"	"NM_000496"	"NA"	"NA"
"206778_at"	"NM_000496"	"CRYBB2"	"crystallin, beta B2"
"206779_s_at"	"NM_004043"	"ASMT"	"acetylserotonin O-methyltransferase"
"206780_at"	"NM_000818"	"GAD2"	"glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)"
"206781_at"	"NM_005528"	"DNAJC4"	"DnaJ (Hsp40) homolog, subfamily C, member 4"
"206782_s_at"	"NM_005528"	"DNAJC4"	"DnaJ (Hsp40) homolog, subfamily C, member 4"
"206783_at"	"BF510715"	"FGF4"	"fibroblast growth factor 4"
"206784_at"	"NM_001169"	"AQP8"	"aquaporin 8"
"206785_s_at"	"NM_002260"	"NA"	"NA"
"206786_at"	"NM_000200"	"HTN3"	"histatin 3"
"206787_at"	"NM_001726"	"BRDT"	"bromodomain, testis-specific"
"206788_s_at"	"AF294326"	"CBFB"	"core-binding factor, beta subunit"
"206789_s_at"	"NM_002697"	"POU2F1"	"POU class 2 homeobox 1"
"206790_s_at"	"NM_004545"	"NDUFB1"	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 1, 7kDa"
"206791_s_at"	"BF511742"	"NA"	"NA"
"206792_x_at"	"NM_000923"	"NA"	"NA"
"206793_at"	"NM_002686"	"PNMT"	"phenylethanolamine N-methyltransferase"
"206794_at"	"NM_005235"	"ERBB4"	"erb-b2 receptor tyrosine kinase 4"
"206795_at"	"NM_004101"	"F2RL2"	"coagulation factor II (thrombin) receptor-like 2"
"206796_at"	"NM_003882"	"WISP1"	"WNT1 inducible signaling pathway protein 1"
"206797_at"	"NM_000015"	"NAT2"	"N-acetyltransferase 2 (arylamine N-acetyltransferase)"
"206798_x_at"	"NM_005106"	"DLEC1"	"deleted in lung and esophageal cancer 1"
"206799_at"	"NM_006551"	"SCGB1D2"	"secretoglobin, family 1D, member 2"
"206800_at"	"NM_005957"	"MTHFR"	"methylenetetrahydrofolate reductase (NAD(P)H)"
"206801_at"	"NM_002521"	"NPPB"	"natriuretic peptide B"
"206802_at"	"NM_016734"	"PAX5"	"paired box 5"
"206803_at"	"NM_024411"	"PDYN"	"prodynorphin"
"206804_at"	"NM_000073"	"CD3G"	"CD3g molecule, gamma (CD3-TCR complex)"
"206805_at"	"NM_006080"	"SEMA3A"	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A"
"206806_at"	"NM_004717"	"DGKI"	"diacylglycerol kinase, iota"
"206807_s_at"	"NM_017482"	"ADD2"	"adducin 2 (beta)"
"206808_at"	"NM_005758"	"HNRNPA3P1"	"heterogeneous nuclear ribonucleoprotein A3 pseudogene 1"
"206809_s_at"	"NM_005758"	"NA"	"NA"
"206810_at"	"NM_016264"	"NA"	"NA"
"206811_at"	"NM_001115"	"ADCY8"	"adenylate cyclase 8 (brain)"
"206812_at"	"NM_000025"	"ADRB3"	"adrenoceptor beta 3"
"206813_at"	"NM_001330"	"CTF1"	"cardiotrophin 1"
"206814_at"	"NM_002506"	"NGF"	"nerve growth factor (beta polypeptide)"
"206815_at"	"NM_012436"	"SPAG8"	"sperm associated antigen 8"
"206816_s_at"	"NM_012436"	"SPAG8"	"sperm associated antigen 8"
"206817_x_at"	"NM_007185"	"CELF3"	"CUGBP, Elav-like family member 3"
"206818_s_at"	"NM_017649"	"CNNM2"	"cyclin and CBS domain divalent metal cation transport mediator 2"
"206819_at"	"NM_014549"	"POM121L9P"	"POM121 transmembrane nucleoporin-like 9, pseudogene"
"206820_at"	"AF015042"	"AGFG2"	"ArfGAP with FG repeats 2"
"206821_x_at"	"NM_006076"	"AGFG2"	"ArfGAP with FG repeats 2"
"206822_s_at"	"NM_015478"	"L3MBTL1"	"l(3)mbt-like 1 (Drosophila)"
"206823_at"	"NM_015478"	"L3MBTL1"	"l(3)mbt-like 1 (Drosophila)"
"206824_at"	"NM_016280"	"CES1P1"	"carboxylesterase 1 pseudogene 1"
"206825_at"	"NM_000916"	"OXTR"	"oxytocin receptor"
"206826_at"	"NM_002677"	"PMP2"	"peripheral myelin protein 2"
"206827_s_at"	"NM_014274"	"TRPV6"	"transient receptor potential cation channel, subfamily V, member 6"
"206828_at"	"NM_003328"	"TXK"	"TXK tyrosine kinase"
"206829_x_at"	"NM_025189"	"ZNF430"	"zinc finger protein 430"
"206830_at"	"NM_022058"	"SLC4A10"	"solute carrier family 4, sodium bicarbonate transporter, member 10"
"206831_s_at"	"NM_001669"	"ARSD"	"arylsulfatase D"
"206832_s_at"	"NM_004186"	"SEMA3F"	"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F"
"206833_s_at"	"NM_001108"	"ACYP2"	"acylphosphatase 2, muscle type"
"206834_at"	"NM_000519"	"HBD"	"hemoglobin, delta"
"206835_at"	"NM_003154"	"STATH"	"statherin"
"206836_at"	"NM_001044"	"SLC6A3"	"solute carrier family 6 (neurotransmitter transporter), member 3"
"206837_at"	"NM_006982"	"ALX1"	"ALX homeobox 1"
"206838_at"	"NM_005149"	"TBX19"	"T-box 19"
"206839_at"	"NM_015370"	"C22orf31"	"chromosome 22 open reading frame 31"
"206840_at"	"NM_001133"	"AFM"	"afamin"
"206841_at"	"NM_006205"	"PDE6H"	"phosphodiesterase 6H, cGMP-specific, cone, gamma"
"206842_at"	"NM_004979"	"KCND1"	"potassium channel, voltage gated Shal related subfamily D, member 1"
"206843_at"	"NM_001886"	"CRYBA4"	"crystallin, beta A4"
"206844_at"	"NM_003837"	"FBP2"	"fructose-1,6-bisphosphatase 2"
"206845_s_at"	"NM_014771"	"RNF40"	"ring finger protein 40, E3 ubiquitin protein ligase"
"206846_s_at"	"NM_006044"	"HDAC6"	"histone deacetylase 6"
"206847_s_at"	"AF026397"	"HOXA7"	"homeobox A7"
"206848_at"	"NM_006896"	"NA"	"NA"
"206849_at"	"NM_000816"	"GABRG2"	"gamma-aminobutyric acid (GABA) A receptor, gamma 2"
"206850_at"	"NM_006477"	"RASL10A"	"RAS-like, family 10, member A"
"206851_at"	"NM_002935"	"RNASE3"	"ribonuclease, RNase A family, 3"
"206852_at"	"NM_004440"	"EPHA7"	"EPH receptor A7"
"206853_s_at"	"AL121964"	"MAP3K7"	"mitogen-activated protein kinase kinase kinase 7"
"206854_s_at"	"NM_003188"	"MAP3K7"	"mitogen-activated protein kinase kinase kinase 7"
"206855_s_at"	"NM_003773"	"HYAL2"	"hyaluronoglucosaminidase 2"
"206856_at"	"NM_006840"	"LILRB5"	"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5"
"206857_s_at"	"NM_004116"	"FKBP1B"	"FK506 binding protein 1B, 12.6 kDa"
